_,PS,PS_prov,PS_search,base,base_prov,base_search
13,3445.05,12.00,3433.05,0.00,0.00,0.00
12,3454.82,10.78,3444.03,0.00,0.00,0.00
11,3442.78,10.76,3432.02,0.00,0.00,0.00
10,3605.46,10.92,3594.54,0.00,0.00,0.00
9,3721.82,10.99,3710.83,0.00,0.00,0.00
8,12729.55,11.11,12718.44,0.00,0.00,0.00
7,2653.15,11.06,2642.10,0.00,0.00,0.00
6,2399.12,11.03,2388.09,0.00,0.00,0.00
5,13864.47,10.98,13853.49,0.00,0.00,0.00
4,13528.13,10.93,13517.20,0.00,0.00,0.00
3,22506.17,10.78,22495.39,0.00,0.00,0.00
2,24173.77,1893.38,22280.39,0.00,0.00,0.00
1,21649.69,49.65,21600.04,0.00,0.00,0.00
