selection file, result

0

[19941214, 19950216.0, 1.0, 1.0, 1.0, 1.0]
[19941213, 19950215.0, 1.0, 1.0, 1.0, 1.0]
[19941213, 19950208.0, 0.0, 1.0, 1.0, 1.0]
[19941213, 19950129.0, 0.0, 0.0, 1.0, 1.0]
[19941213, 19950114.0, 0.0, 0.0, 0.0, 1.0]
[19941213, 19941210.0, 0.0, 0.0, 0.0, 0.0]
[19941208, 19950210.0, 1.0, 1.0, 1.0, 1.0]
[19941208, 19950203.0, 0.0, 1.0, 1.0, 1.0]
[19941208, 19950124.0, 0.0, 0.0, 1.0, 1.0]
[19941208, 19950109.0, 0.0, 0.0, 0.0, 1.0]
[19941208, 19941205.0, 0.0, 0.0, 0.0, 0.0]
[19941203, 19950205.0, 1.0, 1.0, 1.0, 1.0]
[19941203, 19950130.0, 0.0, 1.0, 1.0, 1.0]
[19941203, 19950119.0, 0.0, 0.0, 1.0, 1.0]
[19941203, 19950104.0, 0.0, 0.0, 0.0, 1.0]
[19941203, 19941130.0, 0.0, 0.0, 0.0, 0.0]
[19941128, 19950131.0, 1.0, 1.0, 1.0, 1.0]
[19941128, 19950125.0, 0.0, 1.0, 1.0, 1.0]
[19941128, 19950115.0, 0.0, 0.0, 1.0, 1.0]
[19941128, 19941230.0, 0.0, 0.0, 0.0, 1.0]
[19941128, 19941125.0, 0.0, 0.0, 0.0, 0.0]
[19941123, 19950126.0, 1.0, 1.0, 1.0, 1.0]
[19941123, 19950120.0, 0.0, 1.0, 1.0, 1.0]
[19941123, 19950110.0, 0.0, 0.0, 1.0, 1.0]
[19941123, 19941226.0, 0.0, 0.0, 0.0, 1.0]
[19941123, 19941120.0, 0.0, 0.0, 0.0, 0.0]
[19941118, 19950121.0, 1.0, 1.0, 1.0, 1.0]
[19941118, 19950115.0, 0.0, 1.0, 1.0, 1.0]
[19941118, 19950105.0, 0.0, 0.0, 1.0, 1.0]
[19941118, 19941221.0, 0.0, 0.0, 0.0, 1.0]
[19941118, 19941115.0, 0.0, 0.0, 0.0, 0.0]
[19941217.0, 19950219.0, 1.0, 1.0, 1.0, 1.0]
[19941223.0, 19950219.0, 0.0, 1.0, 1.0, 1.0]
