o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|Unnamed: 9
1|37|O|131251.81|19960102|5-LOW|Clerk#000000951|0|nstructions sleep furiously among |
2|79|O|40183.29|19961201|1-URGENT|Clerk#000000880|0| foxes. pending accounts at the pending, silent asymptot|
3|124|F|160882.76|19931014|5-LOW|Clerk#000000955|0|sly final accounts boost. carefully regular ideas cajole carefully. depos|
4|137|O|31084.79|19951011|5-LOW|Clerk#000000124|0|sits. slyly regular warthogs cajole. regular, regular theodolites acro|
5|46|F|86615.25|19940730|5-LOW|Clerk#000000925|0|quickly. bold deposits sleep slyly. packages use slyly|
6|56|F|36468.55|19920221|4-NOT SPECIFIED|Clerk#000000058|0|ggle. special, final requests are against the furiously specia|
7|40|O|171488.73|19960110|2-HIGH|Clerk#000000470|0|ly special requests |
32|131|O|116923.0|19950716|2-HIGH|Clerk#000000616|0|ise blithely bold, regular requests. quickly unusual dep|
33|67|F|99798.76|19931027|3-MEDIUM|Clerk#000000409|0|uriously. furiously final request|
34|62|O|41670.02|19980721|3-MEDIUM|Clerk#000000223|0|ly final packages. fluffily final deposits wake blithely ideas. spe|
35|128|O|148789.52|19951023|4-NOT SPECIFIED|Clerk#000000259|0|zzle. carefully enticing deposits nag furio|
36|116|O|38988.98|19951103|1-URGENT|Clerk#000000358|0| quick packages are blithely. slyly silent accounts wake qu|
37|88|F|113701.89|19920603|3-MEDIUM|Clerk#000000456|0|kly regular pinto beans. carefully unusual waters cajole never|
38|125|O|46366.56|19960821|4-NOT SPECIFIED|Clerk#000000604|0|haggle blithely. furiously express ideas haggle blithely furiously regular re|
39|82|O|219707.84|19960920|3-MEDIUM|Clerk#000000659|0|ole express, ironic requests: ir|
64|34|F|20065.73|19940716|3-MEDIUM|Clerk#000000661|0|wake fluffily. sometimes ironic pinto beans about the dolphin|
65|17|P|65883.92|19950318|1-URGENT|Clerk#000000632|0|ular requests are blithely pending orbits-- even requests against the deposit|
66|130|F|79258.24|19940120|5-LOW|Clerk#000000743|0|y pending requests integrate|
67|58|O|116227.05|19961219|4-NOT SPECIFIED|Clerk#000000547|0|symptotes haggle slyly around the furiously iron|
68|29|O|215135.72|19980418|3-MEDIUM|Clerk#000000440|0| pinto beans sleep carefully. blithely ironic deposits haggle furiously acro|
69|85|F|162176.23|19940604|4-NOT SPECIFIED|Clerk#000000330|0| depths atop the slyly thin deposits detect among the furiously silent accou|
70|65|F|84651.8|19931218|5-LOW|Clerk#000000322|0| carefully ironic request|
71|4|O|178821.73|19980124|4-NOT SPECIFIED|Clerk#000000271|0| express deposits along the blithely regul|
96|109|F|55090.67|19940417|2-HIGH|Clerk#000000395|0|oost furiously. pinto|
97|22|F|68908.31|19930129|3-MEDIUM|Clerk#000000547|0|hang blithely along the regular accounts. furiously even ideas after the|
98|106|F|51004.44|19940925|1-URGENT|Clerk#000000448|0|c asymptotes. quickly regular packages should have to nag re|
99|89|F|92326.79|19940313|4-NOT SPECIFIED|Clerk#000000973|0|e carefully ironic packages. pending|
100|148|O|141311.01|19980228|4-NOT SPECIFIED|Clerk#000000577|0|heodolites detect slyly alongside of the ent|
101|28|O|95591.4|19960317|3-MEDIUM|Clerk#000000419|0|ding accounts above the slyly final asymptote|
102|1|O|113954.89|19970509|2-HIGH|Clerk#000000596|0| slyly according to the asymptotes. carefully final packages integrate furious|
103|31|O|95563.95|19960620|4-NOT SPECIFIED|Clerk#000000090|0|ges. carefully unusual instructions haggle quickly regular f|
128|74|F|36333.34|19920615|1-URGENT|Clerk#000000385|0|ns integrate fluffily. ironic asymptotes after the regular excuses nag around |
129|73|F|188124.55|19921119|5-LOW|Clerk#000000859|0|ing tithes. carefully pending deposits boost about the silently express |
130|37|F|115717.37|19920508|2-HIGH|Clerk#000000036|0|le slyly unusual, regular packages? express deposits det|
131|94|F|96596.81|19940608|3-MEDIUM|Clerk#000000625|0|after the fluffily special foxes integrate s|
132|28|F|118802.62|19930611|3-MEDIUM|Clerk#000000488|0|sits are daringly accounts. carefully regular foxes sleep slyly about the|
133|44|O|80437.72|19971129|1-URGENT|Clerk#000000738|0|usly final asymptotes |
134|7|F|154260.84|19920501|4-NOT SPECIFIED|Clerk#000000711|0|lar theodolites boos|
135|61|O|174569.88|19951021|4-NOT SPECIFIED|Clerk#000000804|0|l platelets use according t|
160|83|O|86076.86|19961219|4-NOT SPECIFIED|Clerk#000000342|0|thely special sauternes wake slyly of t|
161|17|F|19056.99|19940831|2-HIGH|Clerk#000000322|0|carefully! special instructions sin|
162|16|O|2158.13|19950508|3-MEDIUM|Clerk#000000378|0|nts hinder fluffily ironic instructions. express, express excuses |
163|88|O|125170.86|19970905|3-MEDIUM|Clerk#000000379|0|y final packages. final foxes since the quickly even|
164|1|F|202660.52|19921021|5-LOW|Clerk#000000209|0|cajole ironic courts. slyly final ideas are slyly. blithely final Tiresias sub|
165|28|F|141824.23|19930130|4-NOT SPECIFIED|Clerk#000000292|0|across the blithely regular accounts. bold|
166|109|O|93335.6|19950912|2-HIGH|Clerk#000000440|0|lets. ironic, bold asymptotes kindle|
167|121|F|52982.23|19930104|4-NOT SPECIFIED|Clerk#000000731|0|s nag furiously bold excuses. fluffily iron|
192|83|O|133002.55|19971125|5-LOW|Clerk#000000483|0|y unusual platelets among the final instructions integrate rut|
193|80|F|48053.18|19930808|1-URGENT|Clerk#000000025|0|the furiously final pin|
194|62|F|114097.63|19920405|3-MEDIUM|Clerk#000000352|0|egular requests haggle slyly regular, regular pinto beans. asymptote|
195|136|F|120053.52|19931228|3-MEDIUM|Clerk#000000216|0|old forges are furiously sheaves. slyly fi|
196|65|F|33248.04|19930317|2-HIGH|Clerk#000000988|0|beans boost at the foxes. silent foxes|
197|34|P|100290.07|19950407|2-HIGH|Clerk#000000969|0|solve quickly about the even braids. carefully express deposits affix care|
198|112|O|125792.83|19980102|4-NOT SPECIFIED|Clerk#000000331|0|its. carefully ironic requests sleep. furiously express fox|
199|53|O|80592.44|19960307|2-HIGH|Clerk#000000489|0|g theodolites. special packag|
224|4|F|155680.6|19940618|4-NOT SPECIFIED|Clerk#000000642|0|r the quickly thin courts. carefully|
225|34|P|165890.47|19950525|1-URGENT|Clerk#000000177|0|s. blithely ironic accounts wake quickly fluffily special acc|
226|128|F|180119.22|19930310|2-HIGH|Clerk#000000756|0|s are carefully at the blithely ironic acc|
227|10|O|46076.46|19951110|5-LOW|Clerk#000000919|0| express instructions. slyly regul|
228|46|F|2638.98|19930225|1-URGENT|Clerk#000000562|0|es was slyly among the regular foxes. blithely regular dependenci|
