,p_partkey,p_name,p_mfgr,p_brand,p_type,data,p_container,p_retailprice,p_comment,Unnamed: 9,p_type_suffix,ps_partkey,ps_suppkey,ps_availqty,ps_supplycost,ps_comment,Unnamed: 5,s_suppkey,s_name,s_address,s_nationkey,s_phone,s_acctbal,s_comment,Unnamed: 7,n_nationkey,n_name,n_regionkey,n_comment,Unnamed: 4,r_regionkey,r_name,r_comment,Unnamed: 3
14327,2000,wheat blush green puff tan,Manufacturer#1,Brand#12,PROMO ANODIZED STEEL,46,SM BAG,902.0,ajole carefully,,STEEL,2000,252,3410,231.06,regular foxes detect furiously carefully bold ideas-- carefully silent accounts boost quickly even ,,252,Supplier#000000252,xcaKgadrug,11,21-860-636-2585,1523.14,tain slyly fluffily bold ideas. furiously ironic ideas nag furiously slyly even requests.,,11,IRAQ,4,nic deposits boost atop the quickly final requests? quickly regula,,4,MIDDLE EAST,uickly special accounts cajole carefully blithely close requests. carefully final asymptotes haggle furiousl,
14350,7737,light firebrick peach spring olive,Manufacturer#4,Brand#43,ECONOMY BRUSHED STEEL,45,MED CASE,1644.73,yly am,,STEEL,7737,252,9218,68.08,"ide of the final, special theodolites boost quickly furiously unusual deposits. carefully final foxes sleep furiously. packages among the ca",,252,Supplier#000000252,xcaKgadrug,11,21-860-636-2585,1523.14,tain slyly fluffily bold ideas. furiously ironic ideas nag furiously slyly even requests.,,11,IRAQ,4,nic deposits boost atop the quickly final requests? quickly regula,,4,MIDDLE EAST,uickly special accounts cajole carefully blithely close requests. carefully final asymptotes haggle furiousl,
14403,754,thistle steel sky light red,Manufacturer#5,Brand#51,SMALL ANODIZED STEEL,42,WRAP JAR,1654.75,es. blithely dogge,,STEEL,754,5,1884,588.76,"counts. bold requests across the idle, unusual deposits wake among the slyly regular accounts. regular deposits after the slyly silent ideas are carefully against the carefully bold asy",,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,21-151-690-3663,-283.84,. slyly regular pinto bea,,11,IRAQ,4,nic deposits boost atop the quickly final requests? quickly regula,,4,MIDDLE EAST,uickly special accounts cajole carefully blithely close requests. carefully final asymptotes haggle furiousl,
14426,6492,navy burnished deep cornflower sandy,Manufacturer#5,Brand#55,SMALL POLISHED STEEL,47,WRAP JAR,1398.49,s play carefully ,,STEEL,6492,5,7603,795.65,"according to the regular patterns. slyly bold pinto beans wake furiously ironic sheaves. unusual, special requests haggle boldly across the ironi",,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,21-151-690-3663,-283.84,. slyly regular pinto bea,,11,IRAQ,4,nic deposits boost atop the quickly final requests? quickly regula,,4,MIDDLE EAST,uickly special accounts cajole carefully blithely close requests. carefully final asymptotes haggle furiousl,
14461,15209,medium coral lime steel orange,Manufacturer#3,Brand#35,LARGE ANODIZED STEEL,45,WRAP PACK,1124.2,"rious, even p",,STEEL,15209,5,6690,374.43,bold frays are thinly slyly express deposits. quickly unusual pinto beans boost furi,,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,21-151-690-3663,-283.84,. slyly regular pinto bea,,11,IRAQ,4,nic deposits boost atop the quickly final requests? quickly regula,,4,MIDDLE EAST,uickly special accounts cajole carefully blithely close requests. carefully final asymptotes haggle furiousl,
14470,17470,azure light royal metallic rosy,Manufacturer#4,Brand#42,SMALL ANODIZED STEEL,46,MED PKG,1387.47,ggle above the ,,STEEL,17470,5,7584,618.9,cies wake furiously around the carefully unusual requests. slyly express excuses among the a,,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,21-151-690-3663,-283.84,. slyly regular pinto bea,,11,IRAQ,4,nic deposits boost atop the quickly final requests? quickly regula,,4,MIDDLE EAST,uickly special accounts cajole carefully blithely close requests. carefully final asymptotes haggle furiousl,
14508,7255,goldenrod lime chiffon papaya ghost,Manufacturer#1,Brand#13,ECONOMY POLISHED STEEL,49,MED CAN,1162.25,ts. regular re,,STEEL,7255,256,31,364.44, dependencies haggle carefully slyly final waters. ironic requests haggle. final accounts b,,256,Supplier#000000256,ma15idU1PzO7itP67W1Rd,11,21-370-961-2170,6469.78,sly pending deposits haggle,,11,IRAQ,4,nic deposits boost atop the quickly final requests? quickly regula,,4,MIDDLE EAST,uickly special accounts cajole carefully blithely close requests. carefully final asymptotes haggle furiousl,
14525,11472,lawn linen sienna cornsilk sky,Manufacturer#4,Brand#45,STANDARD ANODIZED STEEL,50,LG BOX,1383.47,sly ironic ,,STEEL,11472,256,3447,678.8,"ccounts-- pending, express ideas use fluffily accounts. carefully express theodolites haggle blithely. carefully unusual theodolites above the slyly fluffy instructions use carefully c",,256,Supplier#000000256,ma15idU1PzO7itP67W1Rd,11,21-370-961-2170,6469.78,sly pending deposits haggle,,11,IRAQ,4,nic deposits boost atop the quickly final requests? quickly regula,,4,MIDDLE EAST,uickly special accounts cajole carefully blithely close requests. carefully final asymptotes haggle furiousl,
14544,16255,yellow rosy blue firebrick moccasin,Manufacturer#3,Brand#32,STANDARD PLATED STEEL,44,MED DRUM,1171.25,ggle quickly ca,,STEEL,16255,256,326,699.77, after the idle braids haggle slyly special deposits. even Tiresias at the blithely ,,256,Supplier#000000256,ma15idU1PzO7itP67W1Rd,11,21-370-961-2170,6469.78,sly pending deposits haggle,,11,IRAQ,4,nic deposits boost atop the quickly final requests? quickly regula,,4,MIDDLE EAST,uickly special accounts cajole carefully blithely close requests. carefully final asymptotes haggle furiousl,
14582,5516,midnight sky purple hot snow,Manufacturer#3,Brand#35,ECONOMY ANODIZED STEEL,45,WRAP PACK,1421.51,blithely,,STEEL,5516,772,1404,168.88,usual asymptotes haggle unusual accounts-- carefully regular packages use blithely against the furiously regular deposits. accounts after the furiousl,,772,Supplier#000000772,GxfKyTzgm 6bVmhZPQ6nUMCx5NSsl0 ATg1WccX,11,21-367-987-9338,7540.44,uietly quick packages! furiously bold pinto beans haggle carefull,,11,IRAQ,4,nic deposits boost atop the quickly final requests? quickly regula,,4,MIDDLE EAST,uickly special accounts cajole carefully blithely close requests. carefully final asymptotes haggle furiousl,
