selection file, running time ps, running time lt

Q3Crelax1,1.60,1.55,0.05
Q3Crelax1,6.84,1.37,5.47


=================================== provenance search ===================================
[60.0, 16.0, 0.0, 0.0, 1.0]
[60.0, 16.0, 0.0, 1.0, 0.0]
[60.0, 16.0, 1.0, 0.0, 0.0]
[60.0, 17.0, 0.0, 0.0, 0.0]
[56.0, 16.0, 0.0, 0.0, 0.0]


=================================== baseline ===================================
[60, 16, 0, 0, 1]
[60, 16, 0, 1, 0]
[60, 16, 1, 0, 0]
[60, 17.0, 0, 0, 0]
[56.0, 16, 0, 0, 0]
