selection file, running time ps, running time lt

Q1Crefine1,58.98,2.19,56.79
Q1Crefine1,469.76,2.04,467.72


=================================== provenance search ===================================
[28.0, 20.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]
[32.0, 18.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
[35.0, 17.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
[37.0, 16.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
[37.0, 17.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
[38.0, 13.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
[38.0, 16.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]
[40.0, 19.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]
[25.0, 19.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]
[28.0, 19.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]


=================================== baseline ===================================
[25.0, 19, 0, 0, 0, 0, 0, 0, 0, 1]
[28.0, 20.0, 0, 0, 0, 0, 0, 0, 0, 0]
[28.0, 19, 0, 0, 0, 0, 1, 0, 0, 1]
[32.0, 18.0, 0, 0, 0, 0, 0, 0, 0, 1]
[33.0, 18.0, 0, 0, 0, 0, 1, 0, 0, 1]
[35.0, 17.0, 0, 0, 0, 0, 0, 0, 0, 1]
[36.0, 18.0, 0, 0, 0, 1, 0, 1, 0, 1]
[36.0, 19, 0, 1, 0, 0, 0, 0, 0, 1]
[37.0, 16.0, 0, 0, 0, 0, 0, 0, 0, 1]
[37.0, 17.0, 0, 0, 0, 1, 0, 1, 0, 1]
[38.0, 13.0, 0, 0, 0, 0, 0, 0, 0, 1]
[38.0, 16.0, 0, 0, 0, 0, 1, 0, 0, 1]
[40, 19, 0, 0, 0, 1, 0, 0, 1, 1]
