selection file, running time ps, running time lt

Q1Ccontract1,2.45,2.42,0.04
Q1Ccontract1,4.70,2.15,2.55


=================================== provenance search ===================================
[40.0, 19.0, 1.0, 1.0, 0.0]
[40.0, 19.0, 1.0, 0.0, 1.0]
[40.0, 19.0, 0.0, 1.0, 1.0]
[40.0, 20.0, 1.0, 1.0, 1.0]
[41.0, 19.0, 1.0, 1.0, 1.0]


=================================== baseline ===================================
[40, 19, 0, 0, 1]
[40, 19, 0, 1, 0]
[40, 19, 1, 0, 0]
[40, 20.0, 0, 0, 0]
[41.0, 19, 0, 0, 0]
