selection file, running time ps, running time lt

Q10Crelax1,6.46,3.98,2.47


=================================== provenance search ===================================
[19930201, 20.0, 0.0, 1.0]
[19930130, 38.0, 1.0, 0.0]
[19930201, 39.0, 0.0, 0.0]
[19930107.0, 37.0, 1.0, 0.0]
[19921226.0, 37.0, 0.0, 0.0]
[19921215.0, 36.0, 1.0, 0.0]
[19921128.0, 36.0, 0.0, 0.0]
[19921115.0, 35.0, 1.0, 0.0]
[19921101.0, 35.0, 0.0, 0.0]
[19921017.0, 34.0, 1.0, 0.0]
[19921005.0, 34.0, 0.0, 0.0]
[19920919.0, 33.0, 1.0, 0.0]
[19920905.0, 33.0, 0.0, 0.0]
[19920821.0, 32.0, 1.0, 0.0]
[19920813.0, 32.0, 0.0, 0.0]
[19920729.0, 31.0, 1.0, 0.0]
[19920716.0, 31.0, 0.0, 0.0]
[19920628.0, 30.0, 1.0, 0.0]
[19920613.0, 30.0, 0.0, 0.0]
[19920518.0, 29.0, 1.0, 0.0]
[19920506.0, 29.0, 0.0, 0.0]
[19920416.0, 28.0, 1.0, 0.0]
[19920406.0, 28.0, 0.0, 0.0]
[19920311.0, 27.0, 1.0, 0.0]
[19920228.0, 27.0, 0.0, 0.0]
[19920124.0, 26.0, 1.0, 0.0]
[19920114.0, 26.0, 0.0, 0.0]
[19930118.0, 38.0, 0.0, 0.0]


=================================== baseline ===================================
[19930201, 20, 0, 1]
[19930201, 39, 0, 0]
[19930130, 38, 1, 0]
[19930118, 38, 0, 0]
[19930107, 37, 1, 0]
[19921226, 37, 0, 0]
[19921215, 36, 1, 0]
[19921128, 36, 0, 0]
[19921115, 35, 1, 0]
[19921101, 35, 0, 0]
[19921017, 34, 1, 0]
[19921005, 34, 0, 0]
[19920919, 33, 1, 0]
[19920905, 33, 0, 0]
[19920821, 32, 1, 0]
[19920813, 32, 0, 0]
[19920729, 31, 1, 0]
[19920716, 31, 0, 0]
[19920628, 30, 1, 0]
